location,lat,lon,arch,loss,model,q_lo,q_hi,r,delta,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,calibrated,n_valid_seeds,n_seeds,n_train_seqs,n_test_pts,train_period,test_period,seq_len
Arabian_Sea,15.0,65.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,94.52054794520548,0.7640730835927595,0.012078846,0.00042173805,0.01509507393747159,0.001289876903496162,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Arabian_Sea,15.0,65.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,97.99086757990867,1.884910268543406,0.023426225,0.0020645899,0.024331881546402624,0.0025161464286448834,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,90.31963470319633,2.8936948890876457,0.0105028665,0.0009157608,0.015166895936864964,0.0023405332487471567,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Bay_of_Bengal,12.0,87.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,94.61187214611871,0.6710930802145673,0.021624742,0.0012109019,0.026823607614432293,0.0020980881576796568,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,87.21461187214611,3.820365417963814,0.01407635,0.00056495564,0.022208945899330847,0.004533084708594392,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Andaman_Sea,11.0,95.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,96.16438356164383,0.683407741876523,0.028382128,0.0034860962,0.032172102912893026,0.0048334565340031835,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,93.88127853881278,1.2454960453868316,0.014941478,0.0018174141,0.018317720461123052,0.0020215054836827282,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
Lakshadweep,10.0,73.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,99.54337899543378,0.40841424246571395,0.03540752,0.003616794,0.03558331415745765,0.003672281767947214,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,LSTM,Quantile,LSTM-Quantile,0.1,0.9,,,94.88584474885845,2.262924510203445,0.017666753,0.0026260468,0.019294172951511045,0.003531037780789554,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
South_IO,-5.0,75.0,LSTM,Tube,LSTM-Tube,,,0.5,0.01,94.79452054794521,2.0944922266994905,0.03833949,0.0031415327,0.042953272013958196,0.007745259998514093,False,5,5,846,219,2021-01 to 2023-05,2023-05 to 2023-12,30
