location,lat,lon,model,avg_picp,std_picp,avg_mpiw,std_mpiw,avg_wis,std_wis,avg_cwc,std_cwc,n_seeds,n_train_seqs,n_test_pts,seq_len,arima_order,n_bootstrap,arch,loss,q_lo,q_hi,r,delta,n_valid_seeds,cal_frac,k_components,rank
Bay_of_Bengal,12.0,87.0,MDN-GRU-K3,97.89954337899545,0.6193908660388328,0.892226664954439,0.0396249258205644,0.901088331055404,0.0376113887925623,0.892226664954439,0.0396249258205644,5,846,219,30,,,MDN-GRU,NLL-Mixture,0.025,0.975,,,5.0,,3.0,1
Bay_of_Bengal,12.0,87.0,GRU-Tube,97.53424657534246,0.9402401955239302,0.9728731870651244,0.0137999719929851,0.9815979957580566,0.0128212166856637,0.9728731870651244,0.0137999719929851,5,846,219,30,,,GRU,Tube,,,0.5,0.01,5.0,,,2
Bay_of_Bengal,12.0,87.0,SimpleRNN-Tube,97.16894977168953,1.835593720752677,1.023098814487457,0.1325575294381755,1.0371943235397338,0.123249697099625,1.0252821491546948,0.131434741314884,5,846,219,30,,,SimpleRNN,Tube,,,0.5,0.01,5.0,,,3
Bay_of_Bengal,12.0,87.0,"ARIMA(2, 1, 1)-Bootstrap",99.08675799086758,0.0,1.058433658253554,0.0,1.0690506645279385,0.0,1.058433658253554,0.0,1,876,219,1,"(2, 1, 1)",2000.0,,,,,,,,,,4
Bay_of_Bengal,12.0,87.0,LSTM-Tube,99.3607305936073,0.5479452054794526,1.0870145797729491,0.1006532860493238,1.0883582830429075,0.0996974273994298,1.0870145797729491,0.1006532860493238,5,846,219,30,,,LSTM,Tube,,,0.5,0.01,5.0,,,5
Bay_of_Bengal,12.0,87.0,Mamba-Tube,96.80365296803652,0.8168284849314328,2.14314661026001,0.0719689932347723,2.170505142211914,0.0686972042059895,2.14314661026001,0.0719689932347723,5,846,219,30,,,Mamba,Tube,,,0.5,0.01,5.0,,,6
Bay_of_Bengal,12.0,87.0,Transformer-Tube,95.8904109589041,1.5551951019110906,2.2171647548675537,0.057507577817743,2.2547372817993163,0.0522202534391959,2.7310819689634425,0.5772647625998034,5,846,219,30,,,Transformer,Tube,,,0.5,0.01,5.0,,,7
Bay_of_Bengal,12.0,87.0,LSTM-KDE,100.0,0.0,3.139396858215332,0.130133960879586,3.139396858215332,0.130133960879586,3.139396858215332,0.130133960879586,5,671,219,30,,,LSTM-KDE,KDE-Calibration,,,,,5.0,0.2,,8
Bay_of_Bengal,12.0,87.0,DeepAR-NLL-Gaussian,88.21917808219177,1.0571540550493352,0.5775592285185602,0.0224866509588298,0.6718997904370017,0.0132846226087881,19.44312273729541,9.661623790318355,5,846,219,30,,,DeepAR,NLL-Gaussian,0.1,0.9,,,5.0,,,9
Bay_of_Bengal,12.0,87.0,LSTM-Quantile,83.74429223744292,2.1533928990961813,0.5224338650703431,0.012463282339241,0.6432751774787903,0.0030273143979875,215.84638654022277,153.6366076477373,5,846,219,30,,,LSTM,Quantile,0.1,0.9,,,5.0,,,10
Bay_of_Bengal,12.0,87.0,GRU-Quantile,82.37442922374427,1.245496045386833,0.5220629572868347,0.0104405566600681,0.6447607994079589,0.0083158536509083,347.73218390217914,224.1927871829596,5,846,219,30,,,GRU,Quantile,0.1,0.9,,,5.0,,,11
Bay_of_Bengal,12.0,87.0,SimpleRNN-Quantile,80.09132420091325,1.6987283322135405,0.5160559058189392,0.0117990756107763,0.6719265460968018,0.0156222122319644,1304.2061479945726,1242.719647928316,5,846,219,30,,,SimpleRNN,Quantile,0.1,0.9,,,5.0,,,12
Bay_of_Bengal,12.0,87.0,Mamba-Quantile,79.63470319634703,2.823675768719692,1.1208508014678955,0.0413216637172343,1.5066961288452148,0.0631979680961779,5243.149914283932,5126.971092122645,5,846,219,30,,,Mamba,Quantile,0.1,0.9,,,5.0,,,13
Bay_of_Bengal,12.0,87.0,Transformer-Quantile,78.63013698630137,4.809933911329205,1.241048002243042,0.1231099251639511,1.6855735778808594,0.0508674246749399,22797.7840016338,30708.755031859582,5,846,219,30,,,Transformer,Quantile,0.1,0.9,,,5.0,,,14
