model,Avg_PICP,Min_PICP,Avg_MPIW,Avg_WIS,Med_CWC,Locations,Seeds,Rank,Pass5,Coverage
GRU-Quantile,81.0958904109589,76.7123287671233,0.4917529213428497,0.66756995677948,451.7797978406852,5,5,1,0/5,Poor
DeepAR-NLL-Gaussian,85.46118721461187,78.53881278538813,0.5339769384147474,0.6782708103851354,33.68073512788691,5,5,2,0/5,Poor
LSTM-Quantile,81.62557077625571,75.52511415525115,0.493676643371582,0.678422076702118,215.84638654022277,5,5,3,0/5,Poor
SimpleRNN-Quantile,79.70776255707763,76.7123287671233,0.4916526412963867,0.6844101190567017,1304.2061479945726,5,5,4,0/5,Poor
MDN-GRU-K3,96.56621004566212,94.88584474885845,0.8087849137690363,0.8422936634389732,0.8455382829722747,5,5,5,4/5,Overcov.
"ARIMA(2, 1, 1)-Bootstrap",94.97716894977168,93.15068493150685,0.8633989507774107,0.953880388090225,1.340923998562099,5,1,6,1/5,Excellent
SimpleRNN-Tube,96.87671232876713,95.98173515981736,0.9332516646385193,0.9667811608314514,1.0070626139640808,5,5,7,5/5,Overcov.
GRU-Tube,96.25570776255708,92.51141552511416,1.0290307760238648,1.0887302684783935,0.9728731870651244,5,5,8,4/5,Overcov.
LSTM-Tube,97.0958904109589,95.52511415525116,1.3587018179893495,1.456742684841156,1.265185310123087,5,5,9,5/5,Overcov.
Transformer-Quantile,79.5068493150685,77.26027397260273,1.1875849533081053,1.7291737842559816,22797.7840016338,5,5,10,0/5,Poor
Mamba-Quantile,79.10502283105022,73.60730593607306,1.1838731479644775,1.835842618942261,7630.118972399544,5,5,11,0/5,Poor
LSTM-KDE,99.12328767123287,97.80821917808218,1.9435793113708495,1.9834399580955506,1.4842295408248902,5,5,12,5/5,Overcov.
Mamba-Tube,94.63013698630137,92.32876712328768,1.9481834506988527,2.1743694400787357,2.86719821551804,5,5,13,2/5,Excellent
Transformer-Tube,95.67123287671232,94.24657534246576,2.078617339134216,2.2400841236114504,2.884713214473554,5,5,14,3/5,Excellent
